,ActualSales,Sales
0,6181.0,6143.601601301263
1,5459.0,5077.560138908471
2,4220.0,4791.988484197442
3,4519.0,4281.425102807772
4,3558.0,3786.2658115950103
5,3862.0,4056.935831543162
6,3292.0,3347.157316353764
7,3299.0,3345.9311168237846
8,3235.0,3030.8884492066627
9,3381.0,3060.057977162557
10,3538.0,3507.9340165970802
11,7572.0,5457.048253007173
12,8009.0,5256.843899951082
13,5499.0,5069.463066600354
14,4707.0,4888.2852302537085
15,4824.0,5006.039429099339
16,3371.0,3685.5329498928577
17,3743.0,3518.841135532268
18,3552.0,2896.4505815734574
19,3812.0,2609.484748762042
20,3391.0,2513.3531741007973
21,4035.0,3020.237597820843
22,3786.0,3327.4996854668925
23,6764.0,5973.165394781477
24,5899.0,5865.8111644541505
25,5846.0,5499.109100604447
26,5661.0,4965.040707018779
27,4341.0,4641.194481704315
28,3585.0,3326.096622995824
29,3949.0,3278.089989395341
30,3873.0,2569.612958907058
31,3468.0,1947.3016123528914
32,3997.0,2299.9616881956554
33,3565.0,2211.605706499705
34,4506.0,2945.7433851672413
35,7706.0,5220.3896952757095
36,6485.0,4959.620692583022
37,5813.0,4656.325773021376
38,6151.0,4494.922840399473
39,6164.0,4265.3858154462305
